No.;E(HOMO);E(LUMO);He8_steric;PA;Q(B);BE(B);P-B;ΔP-A(B);ΔA−P-A(B);Q(Au);BE(Au);Au-Cl;Au-P;ΔP-A(Au);ΔA−P-A(Au);Q(Pd);BE(Pd);Pd-Cl trans;P-Pd;ΔP-A(Pd);ΔA−P-A(Pd);Q(Pt);BE(Pt);P-Pt;ΔP-A(Pt);ΔA−P-A(Pt);<(H3P)Pt(PH3);S4';;;;;
1;-0,24636;-0,00029;2,30;190,60;-0,590;26,10;1,941;-0,013;6,3;-0,242;58,40;2,288;2,257;-0,014;6,6;-1,260;29,10;2,357;2,244;-0,008;5,4;-0,014;8,80;2,328;-0,001;1,5;109,4;66,9;;;;;
2;-0,19045;0,03268;3,00;233,00;-0,680;39,20;1,926;-0,028;4,6;-0,314;72,42;2,309;2,272;-0,026;5,0;-1,330;38,50;2,378;2,268;-0,021;3,4;-0,061;12,90;2,331;-0,010;1,3;107,5;39,4;;;;;
3;-0,27742;-0,05837;3,00;182,30;-0,560;26,30;1,915;-0,002;3,4;-0,176;57,39;2,281;2,241;0,006;3,0;-1,120;32,30;2,343;2,244;0,023;-0,3;0,137;22,80;2,250;0,008;-0,1;109,0;52,2;;;;;
4;-0,26620;-0,11270;20,66;194,04;-0,538;22,51;1,924;-0,005;2,1;-0,123;55,02;2,288;2,254;0,004;2,2;-1,017;16,38;2,342;2,318;0,045;-1,6;0,269;16,58;2,260;0,046;-2,4;106,6;28,7;;;;;
5;-0,18723;0,02584;6,00;239,10;-0,680;39,00;1,934;-0,027;4,8;-0,321;74,62;2,318;2,280;-0,025;5,3;-1,300;37,00;2,378;2,289;-0,013;2,5;-0,065;17,10;2,338;-0,010;1,6;107,4;39,0;;;;;
6;-0,27210;-0,07070;9,92;188,82;-0,555;24,35;1,924;0,003;2,7;-0,163;57,65;2,286;2,246;0,009;2,7;-1,092;27,71;2,340;2,269;0,030;-1,9;0,154;20,39;2,263;0,021;-1,3;108,1;39,9;;;;;
7;-0,23430;-0,01640;7,46;211,79;-0,618;32,02;1,923;-0,024;3,4;-0,234;64,39;2,298;2,261;-0,023;3,8;-1,212;40,13;2,353;2,266;-0,015;3,2;0,035;16,55;2,303;0,000;-0,3;108,3;38,4;;;;;
8;-0,21290;-0,08380;11,62;206,82;-0,587;25,07;1,976;0,011;0,7;-0,243;59,31;2,303;2,277;0,033;-0,3;-1,206;30,88;2,362;2,281;0,024;-5,5;0,084;13,95;2,351;-0,004;1,1;110,8;26,9;;;;;
9;-0,18767;0,02530;6,10;241,90;-0,680;39,20;1,934;-0,029;5,1;-0,323;74,98;2,318;2,279;-0,026;5,4;-1,300;37,30;2,377;2,288;-0,014;2,5;-0,063;16,60;2,342;-0,012;1,9;107,3;39,2;;;;;
10;-0,17950;0,02410;12,18;244,60;-0,690;38,60;1,941;-0,024;4,0;-0,322;74,56;2,320;2,284;-0,020;4,7;-1,270;37,17;2,381;2,317;-0,014;2,4;-0,056;14,40;2,367;-0,001;0,1;106,7;28,4;;;;;
